"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
3;0,482244657473168;"A. nilotica";"Oui";"domain";"Avec blocs"
4;0,689837126282909;"A. nilotica";"Oui";"domain";"Avec blocs"
5;0,535747902598731;"A. nilotica";"Oui";"domain";"Avec blocs"
1;0,497628907293615;"F. albida";"Non";"domain";"Sans blocs"
2;0,494723430003683;"F. albida";"Non";"domain";"Sans blocs"
3;0,494116810189718;"F. albida";"Non";"domain";"Sans blocs"
4;0,520260263399103;"F. albida";"Non";"domain";"Sans blocs"
5;0,488967611336032;"F. albida";"Non";"domain";"Sans blocs"
1;0,507609442387695;"F. albida";"Oui";"domain";"Sans blocs"
2;0,507063129899886;"F. albida";"Oui";"domain";"Sans blocs"
3;0,522373695530282;"F. albida";"Oui";"domain";"Sans blocs"
4;0,535234454146365;"F. albida";"Oui";"domain";"Sans blocs"
5;0,538566367842684;"F. albida";"Oui";"domain";"Sans blocs"
1;0,458575532838912;"B. aegyptiaca";"Non";"domain";"Sans blocs"
2;0,465603855725017;"B. aegyptiaca";"Non";"domain";"Sans blocs"
3;0,454915027605245;"B. aegyptiaca";"Non";"domain";"Sans blocs"
4;0,413554629491061;"B. aegyptiaca";"Non";"domain";"Sans blocs"
5;0,446544558716076;"B. aegyptiaca";"Non";"domain";"Sans blocs"
1;0,524299490625408;"B. aegyptiaca";"Oui";"domain";"Sans blocs"
2;0,522424222997978;"B. aegyptiaca";"Oui";"domain";"Sans blocs"
3;0,529663314601203;"B. aegyptiaca";"Oui";"domain";"Sans blocs"
4;0,513548010176477;"B. aegyptiaca";"Oui";"domain";"Sans blocs"
5;0,526199202312773;"B. aegyptiaca";"Oui";"domain";"Sans blocs"
1;0,547585157725397;"A. leiocarpus";"Non";"domain";"Sans blocs"
2;0,537921348314607;"A. leiocarpus";"Non";"domain";"Sans blocs"
3;0,52982094145625;"A. leiocarpus";"Non";"domain";"Sans blocs"
4;0,533509189925119;"A. leiocarpus";"Non";"domain";"Sans blocs"
5;0,564168311076438;"A. leiocarpus";"Non";"domain";"Sans blocs"
1;0,547765265440302;"A. leiocarpus";"Oui";"domain";"Sans blocs"
2;0,537110068007096;"A. leiocarpus";"Oui";"domain";"Sans blocs"
3;0,54507239280968;"A. leiocarpus";"Oui";"domain";"Sans blocs"
4;0,551639437258906;"A. leiocarpus";"Oui";"domain";"Sans blocs"
5;0,56179347742952;"A. leiocarpus";"Oui";"domain";"Sans blocs"
1;0,615746707097508;"A. digitata";"Non";"domain";"Sans blocs"
2;0,63361917132667;"A. digitata";"Non";"domain";"Sans blocs"
3;0,593000812414942;"A. digitata";"Non";"domain";"Sans blocs"
4;0,620518574977416;"A. digitata";"Non";"domain";"Sans blocs"
5;0,630048802332741;"A. digitata";"Non";"domain";"Sans blocs"
1;0,552153416090211;"A. digitata";"Oui";"domain";"Sans blocs"
2;0,519087666769407;"A. digitata";"Oui";"domain";"Sans blocs"
3;0,539293457731137;"A. digitata";"Oui";"domain";"Sans blocs"
4;0,542195968834688;"A. digitata";"Oui";"domain";"Sans blocs"
5;0,523861745383116;"A. digitata";"Oui";"domain";"Sans blocs"
1;0,500492042485324;"A. nilotica";"Non";"domain";"Sans blocs"
2;0,5032259453872;"A. nilotica";"Non";"domain";"Sans blocs"
3;0,550569718103619;"A. nilotica";"Non";"domain";"Sans blocs"
4;0,510541463088147;"A. nilotica";"Non";"domain";"Sans blocs"
5;0,550320056899004;"A. nilotica";"Non";"domain";"Sans blocs"
1;0,515151515151515;"A. nilotica";"Oui";"domain";"Sans blocs"
2;0,498436557843053;"A. nilotica";"Oui";"domain";"Sans blocs"
3;0,501886573995246;"A. nilotica";"Oui";"domain";"Sans blocs"
4;0,47886687638043;"A. nilotica";"Oui";"domain";"Sans blocs"
